cust_id,month_from_purchase,store_id,age_when_purchase,gender_id,city_code
266783,104.0,0.2,38.2,0.0,4.0
266784,101.0,1.3333333333333333,20.666666666666668,1.0,10.0
266785,105.375,1.875,26.875,1.0,3.0
266788,107.0,1.25,40.25,1.0,2.0
266794,106.33333333333333,0.8333333333333334,41.083333333333336,1.0,9.0
266799,92.0,2.25,43.5,1.0,5.0
266806,98.83333333333333,1.5,21.0,1.0,10.0
266807,107.25,1.25,23.25,0.0,4.0
266809,104.4,1.4,32.0,1.0,3.0
266810,108.0,0.2,30.2,1.0,3.0
266814,101.2,1.6,29.6,1.0,9.0
266815,100.33333333333333,1.0,39.0,1.0,4.0
266816,103.5,0.6666666666666666,37.666666666666664,0.0,6.0
266817,103.66666666666667,1.0,31.666666666666668,1.0,5.0
266818,105.0,0.6,30.6,1.0,2.0
266819,101.0,2.0,30.333333333333332,0.0,8.0
266820,97.25,1.5,34.75,1.0,5.0
266821,105.0,1.6666666666666667,20.333333333333332,0.0,5.0
266822,104.5,0.9,42.0,1.0,9.0
266823,97.66666666666667,1.6666666666666667,26.333333333333332,0.0,3.0
266824,102.0,1.25,39.25,0.0,7.0
266825,103.25,1.0,19.5,1.0,8.0
266827,98.5,0.8333333333333334,35.166666666666664,1.0,7.0
266829,102.0,0.6666666666666666,36.333333333333336,1.0,4.0
266830,102.66666666666667,1.0,27.0,0.0,1.0
266835,106.33333333333333,3.0,25.0,1.0,1.0
266836,114.25,1.25,37.75,1.0,7.0
266841,102.0,1.2857142857142858,21.428571428571427,0.0,1.0
266842,101.33333333333333,1.0,28.0,1.0,1.0
266843,106.33333333333333,1.6666666666666667,25.0,1.0,5.0
266846,97.4,0.8,33.8,0.0,2.0
266852,108.57142857142857,1.5714285714285714,22.142857142857142,0.0,5.0
266853,98.25,1.75,22.25,0.0,6.0
266854,104.2,1.0,41.0,0.0,5.0
266855,107.25,0.75,39.5,0.0,10.0
266856,112.75,1.0,25.5,0.0,1.0
266857,104.0,2.1666666666666665,26.833333333333332,1.0,1.0
266862,100.5,0.0,42.5,1.0,5.0
266863,94.75,0.75,40.25,0.0,6.0
266864,103.5,0.8333333333333334,21.0,1.0,3.0
266865,108.6,0.2,27.4,0.0,9.0
266867,105.5,1.75,31.5,1.0,9.0
266870,98.0,0.25,28.5,1.0,7.0
266878,100.25,1.75,21.5,0.0,4.0
266883,102.88888888888889,2.0,28.0,1.0,10.0
266885,108.5,1.75,28.25,0.0,5.0
266887,102.25,2.0,24.25,1.0,4.0
266888,107.0,0.75,35.0,0.0,3.0
266892,99.66666666666667,1.3333333333333333,22.0,0.0,2.0
266895,99.66666666666667,1.6666666666666667,42.666666666666664,0.0,4.0
266896,107.0,1.4,37.6,1.0,1.0
266900,106.8,0.6,23.2,0.0,9.0
266901,101.0,1.75,25.25,1.0,8.0
266902,109.66666666666667,1.6666666666666667,19.0,0.0,7.0
266904,112.83333333333333,1.1666666666666667,31.333333333333332,1.0,9.0
266906,107.8,1.2,20.2,0.0,10.0
266910,101.33333333333333,2.0,23.666666666666668,0.0,6.0
266911,103.5,1.0,24.0,1.0,6.0
266915,111.75,1.0,32.5,1.0,5.0
266916,101.0,0.8333333333333334,37.333333333333336,0.0,10.0
266917,99.75,0.5,36.5,1.0,8.0
266918,86.5,0.5,37.0,0.0,2.0
266919,94.0,1.0,39.6,0.0,6.0
266920,104.83333333333333,1.3333333333333333,33.166666666666664,1.0,1.0
266921,101.5,1.75,26.5,1.0,3.0
266923,92.6,1.0,24.4,0.0,7.0
266931,109.66666666666667,1.3333333333333333,40.666666666666664,1.0,4.0
266935,100.66666666666667,1.0,29.0,1.0,1.0
266936,101.66666666666667,2.0,28.666666666666668,1.0,9.0
266937,105.5,1.0,20.0,1.0,2.0
266939,100.42857142857143,0.5714285714285714,23.142857142857142,0.0,10.0
266942,101.0,0.5,36.25,0.0,4.0
266945,107.0,0.25,37.375,0.0,2.0
266950,109.66666666666667,1.0,32.0,0.0,6.0
266952,106.16666666666667,1.6666666666666667,36.833333333333336,0.0,1.0
266953,100.33333333333333,0.6666666666666666,30.0,1.0,10.0
266957,93.0,1.5,39.0,0.0,3.0
266958,99.5,1.5,24.75,1.0,9.0
266959,97.66666666666667,0.3333333333333333,42.333333333333336,1.0,1.0
266960,110.25,0.5,29.5,1.0,1.0
266966,101.8,0.8,32.5,1.0,3.0
266972,99.25,1.5,42.25,0.0,7.0
266974,93.0,1.5,33.25,1.0,1.0
266975,97.16666666666667,1.0,40.333333333333336,0.0,4.0
266986,102.8,1.2,35.2,1.0,6.0
266987,102.4,1.4,20.6,1.0,10.0
266992,104.6,0.4,29.2,1.0,9.0
266997,100.33333333333333,0.6666666666666666,43.0,0.0,9.0
266998,106.25,0.75,23.0,1.0,5.0
266999,98.66666666666667,1.6666666666666667,23.666666666666668,0.0,1.0
267000,104.5,1.75,28.25,1.0,5.0
267001,89.33333333333333,2.6666666666666665,42.333333333333336,1.0,6.0
267002,110.66666666666667,0.3333333333333333,25.333333333333332,1.0,7.0
267004,89.66666666666667,1.0,27.666666666666668,0.0,2.0
267005,106.25,2.0,23.5,0.0,4.0
267010,97.0,1.0,41.333333333333336,1.0,4.0
267014,98.36363636363636,1.9090909090909092,34.81818181818182,0.0,2.0
267015,101.66666666666667,1.3333333333333333,32.333333333333336,0.0,7.0
267016,98.42857142857143,0.5714285714285714,22.285714285714285,1.0,6.0
267017,104.2,1.6,30.8,1.0,10.0
267019,98.75,1.0,23.0,0.0,3.0
267020,104.375,0.75,37.5,1.0,8.0
267021,104.0,0.0,29.666666666666668,0.0,1.0
267023,110.33333333333333,0.5,23.0,1.0,8.0
267024,104.44444444444444,0.6666666666666666,22.333333333333332,0.0,10.0
267025,99.125,1.0,36.25,1.0,8.0
267028,103.5,1.5,19.5,1.0,7.0
267030,110.33333333333333,2.0,29.666666666666668,1.0,9.0
267032,98.83333333333333,1.8333333333333333,41.833333333333336,1.0,4.0
267037,109.75,1.75,23.25,1.0,1.0
267042,107.25,0.625,41.875,0.0,8.0
267043,109.33333333333333,0.6666666666666666,27.333333333333332,1.0,3.0
267045,98.0,1.6,23.9,0.0,8.0
267048,110.4,1.2,23.8,0.0,8.0
267049,93.2,2.0,28.4,0.0,10.0
267051,104.0,1.25,29.5,1.0,10.0
267053,103.0,1.0,29.833333333333332,0.0,9.0
267056,106.66666666666667,2.0,22.666666666666668,0.0,8.0
267058,100.42857142857143,1.5714285714285714,20.571428571428573,1.0,10.0
267066,116.33333333333333,0.3333333333333333,41.0,1.0,10.0
267067,100.16666666666667,1.3333333333333333,20.5,0.0,5.0
267068,108.0,0.5,32.0,0.0,6.0
267072,93.5,1.25,28.0,0.0,8.0
267073,106.4,1.0,22.2,1.0,9.0
267075,107.83333333333333,1.0,34.833333333333336,0.0,10.0
267076,103.66666666666667,1.0,29.666666666666668,1.0,4.0
267081,109.5,0.0,41.75,1.0,3.0
267084,100.0,1.5,34.666666666666664,0.0,1.0
267088,101.75,1.0,33.5,1.0,9.0
267093,108.0,1.3333333333333333,22.333333333333332,1.0,9.0
267094,112.0,1.0,18.75,0.0,9.0
267097,100.0,1.5,39.5,0.0,2.0
267099,102.44444444444444,1.8888888888888888,23.333333333333332,0.0,5.0
267100,104.0,2.3333333333333335,34.666666666666664,1.0,6.0
267102,100.66666666666667,1.3333333333333333,19.666666666666668,1.0,2.0
267103,101.375,1.0,25.25,0.0,8.0
267105,99.8,2.0,25.8,0.0,1.0
267106,102.66666666666667,1.3333333333333333,29.666666666666668,0.0,3.0
267107,103.66666666666667,0.0,35.333333333333336,0.0,1.0
267108,101.33333333333333,1.3333333333333333,28.333333333333332,1.0,9.0
267110,106.8,1.8,24.4,1.0,7.0
267112,100.5,0.75,40.0,0.0,7.0
267113,101.0,1.75,37.0,1.0,3.0
267117,105.16666666666667,1.0,34.333333333333336,1.0,7.0
267119,108.75,0.75,28.25,1.0,7.0
267122,108.0,1.6666666666666667,27.666666666666668,1.0,7.0
267124,112.0,1.0,37.0,0.0,2.0
267125,104.33333333333333,1.3333333333333333,30.88888888888889,1.0,4.0
267126,105.0,1.6666666666666667,39.5,0.0,8.0
267129,110.33333333333333,1.6666666666666667,33.666666666666664,0.0,6.0
267134,99.33333333333333,1.1111111111111112,20.0,0.0,2.0
267135,107.0,0.75,34.5,1.0,4.0
267139,92.33333333333333,1.3333333333333333,35.333333333333336,0.0,7.0
267143,98.33333333333333,1.8333333333333333,23.0,1.0,1.0
267146,99.0,1.0,22.0,1.0,6.0
267148,98.4,1.2,37.6,1.0,7.0
267151,105.0,0.8571428571428571,25.142857142857142,1.0,1.0
267152,101.85714285714286,1.4285714285714286,30.0,0.0,6.0
267156,104.0,1.3333333333333333,20.333333333333332,0.0,1.0
267157,112.0,1.3333333333333333,20.666666666666668,0.0,5.0
267158,107.25,1.125,37.875,0.0,5.0
267160,96.6,2.0,39.2,0.0,3.0
267162,93.25,2.25,35.0,1.0,2.0
267163,107.625,1.5,22.0,1.0,8.0
267164,103.16666666666667,1.1666666666666667,33.833333333333336,1.0,7.0
267165,100.16666666666667,1.1666666666666667,26.166666666666668,1.0,4.0
267167,103.83333333333333,1.5,19.666666666666668,0.0,6.0
267169,106.0,1.1666666666666667,39.333333333333336,0.0,8.0
267172,102.875,1.375,22.625,1.0,6.0
267173,100.0,1.5,22.5,1.0,10.0
267174,92.5,0.8333333333333334,40.666666666666664,0.0,1.0
267176,107.8,1.0,33.8,1.0,10.0
267177,98.0,0.3333333333333333,34.0,1.0,3.0
267180,95.2,1.0,30.2,0.0,6.0
267182,100.0,0.75,23.0,0.0,1.0
267183,98.4,1.0,23.0,0.0,7.0
267188,92.75,1.25,23.25,1.0,6.0
267189,96.4,1.6,36.0,0.0,1.0
267191,97.33333333333333,0.0,22.0,1.0,6.0
267203,90.42857142857143,0.2857142857142857,26.571428571428573,0.0,1.0
